"Datums","Sasniedzamais rezultāts","Uzdots","Temats","Kopsavilkums"
"1.09.2025","Monomi.
SR: Atpazīst monomus starp dažādām matemātiskām izteiksmēm. Nosaka monomam pretēju, līdzīgu monomu. Nosaka, vai monoms ir uzrakstīts normālformā. Nosaka dotā monoma koeficientu un pakāpi. Aprēķina izteiksmes vērtību.",,"Monomi un polinomi. ","1.temats"
"2.09.2025","Monomi.
SR: Atpazīst monomus starp dažādām matemātiskām izteiksmēm. Nosaka monomam pretēju, līdzīgu monomu. Nosaka, vai monoms ir uzrakstīts normālformā. Nosaka dotā monoma koeficientu un pakāpi. Aprēķina izteiksmes vērtību.",,"Monomi un polinomi. ","1.temats"
"4.09.2025","Monomi.
SR: Atpazīst monomus starp dažādām matemātiskām izteiksmēm. Nosaka monomam pretēju, līdzīgu monomu. Nosaka, vai monoms ir uzrakstīts normālformā. Nosaka dotā monoma koeficientu un pakāpi. Aprēķina izteiksmes vērtību.",,"Monomi un polinomi. ","1.temats"
"4.09.2025","Monomi.
SR: Atpazīst monomus starp dažādām matemātiskām izteiksmēm. Nosaka monomam pretēju, līdzīgu monomu. Nosaka, vai monoms ir uzrakstīts normālformā. Nosaka dotā monoma koeficientu un pakāpi. Aprēķina izteiksmes vērtību.",,"Monomi un polinomi. ","1.temats"
"5.09.2025","Monomi.
SR: Atpazīst monomus starp dažādām matemātiskām izteiksmēm. Nosaka monomam pretēju, līdzīgu monomu. Nosaka, vai monoms ir uzrakstīts normālformā. Nosaka dotā monoma koeficientu un pakāpi. Aprēķina izteiksmes vērtību.","Nepieciešama mapīte izdales materiāliem un likumu klade (ja tāda nav saglabājusies no pagājušā gada).
 Monomi_1.pptx
8.09.2025","Monomi un polinomi. ","1.temats"
"5.09.2025","Monomi.
SR: Atpazīst monomus starp dažādām matemātiskām izteiksmēm. Nosaka monomam pretēju, līdzīgu monomu. Nosaka, vai monoms ir uzrakstīts normālformā. Nosaka dotā monoma koeficientu un pakāpi. Aprēķina izteiksmes vērtību.",,"Monomi un polinomi. ","1.temats"
"8.09.2025","Darbības ar monomiem.
SR: Pārveido izteiksmes, veicot darbības ar monomiem.","Stundā: 8. - 12. uzd. no izdales lapām
 UZD_Monomi_Darbības ar monomiem.pdf
9.09.2025","Monomi un polinomi. ","1.temats"
"9.09.2025","Darbības ar monomiem.
SR: Pārveido izteiksmes, veicot darbības ar monomiem.","Atbilžu iesūtīšana25
Mājās: Pabeigt 2. un 3. uzd. no darba lapas
 DL25_Darbības ar monomiem 2.docx
11.09.2025","Monomi un polinomi. ","1.temats"
"11.09.2025","Darbības ar monomiem.
SR: Pārveido izteiksmes, veicot darbības ar monomiem.","Mājās: Pabeigt darba lapu ""Darbības ar monomiem""
 DL25_Darbības ar monomiem 2.docx
12.09.2025","Monomi un polinomi. ","1.temats"
"11.09.2025","Polinomi.
SR: Zina, kas ir polinoms, binoms, trinoms, polinoma locekļi, polinoma pakāpe. Aprēķina polinoma skaitlisko vērtību."," Teorija_Polinomi.pptx
12.09.2025","Monomi un polinomi. ","1.temats"
"12.09.2025","Polinomu saskaitīšana un atņemšana.
SR: Saskaita un atņem polinomus, izvēloties ērtāko pierakstu.","Stundā: Darba lapa no 1. līdz 8. uzd.
 DL25_Polinomu saskaitīšana un atņemšana.docx
15.09.2025","Monomi un polinomi. ","1.temats"
"12.09.2025","Polinomu saskaitīšana un atņemšana.
SR: Saskaita un atņem polinomus, izvēloties ērtāko pierakstu."," DL_darbibas ar monomiem_ATBILDES.pdf
 DL_Polinomu saskaitīšana un atņemšana_ATBILDES.pdf
15.09.2025","Monomi un polinomi. ","1.temats"
"15.09.2025","(KVD Polinomu saskaitīšana un atņemšana)
Polinoma reizināšana ar monomu.
SR: Reizina polinomu ar monomu.","Stundā: Darba lapa ""Polinomu reizināšana ar monomu""
 DL25_Polinoma reizināšana un dalīšana ar monomu.docx
 P23_Polinomu reizināšana un dalīšana.pptx
16.09.2025","Monomi un polinomi. ","1.temats"
"16.09.2025","Polinoma dalīšana ar monomu.
SR: Dala polinomu ar monomu.","Stundā: Darba lapa ""Polinomu dalīšana ar monomu""
 DL25_Polinoma reizināšana un dalīšana ar monomu.docx
 P23_Polinomu reizināšana un dalīšana.pptx
18.09.2025","Monomi un polinomi. ","1.temats"
"18.09.2025","Polinoma reizināšana ar polinomu.
SR: Reizina polinomu ar polinomu."," DL23_polinomu reizināšana ar polinomu vienadojumi.docx
19.09.2025","Monomi un polinomi. ","1.temats"
"18.09.2025","Polinoma reizināšana ar polinomu.
SR: Reizina polinomu ar polinomu.",,"Monomi un polinomi. ","1.temats"
"19.09.2025","(KVD Polinomu reizināšana un dalīšana)
Vienādojumu un nevienādību atrisināšana.
SR: Vienkāršo izteiksmes, izmantojot polinomu reizināšanu. Izmanto darbības ar monomiem un polinomiem, atrisinot lineārus vienādojumus un nevienādības.","Stundā: Darba lapa
 DL25_vienodājumi un nevienādības.docx
22.09.2025","Monomi un polinomi. ","1.temats"
"19.09.2025","Vienādojumu un nevienādību atrisināšana.
SR: Vienkāršo izteiksmes, izmantojot polinomu reizināšanu. Izmanto darbības ar monomiem un polinomiem, atrisinot lineārus vienādojumus un nevienādības.",,"Monomi un polinomi. ","1.temats"
"22.09.2025","Gatavošanās temata noslēguma pārbaudes darbam","Stundā: Apkopojums par tematu
 22_Apkopojums par tematu polinomi.pdf
 Atbildes.pdf
23.09.2025","Monomi un polinomi. ","1.temats"
"23.09.2025","TNPD Monomi un polinomi
SR: Saskaita, atņem monomus, reizina un dala monomu ar monomu, kāpina monomu, saskaita, atņem polinomus, reizina monomu ar polinomu, dala polinomu ar monomu, reizina polinomus.*Ar algebrisku izteiksmi apraksta plaknes figūru, telpisku ķermeņu lielumus.*Nosaka monoma un polinoma pakāpi.",,"Monomi un polinomi. ","1.temats"
"25.09.2025","Skaitļu kopas.
SR: Aktualizē zināmās skaitļu kopas. Nosaka un paskaidro skaitļa piederību kopām N, Z, Q.  Skaidro, kas ir iracionāli skaitļi, uzraksta un nosauc iracionālu skaitļu piemērus.","Teorija: M.g. 32. lpp.
Stundā: M.g. 4.,5., 10. - 13. uzd. 34. - 35. lpp.
26.09.2025","Kvadrātsakne.","2.temats"
"25.09.2025","Bezgalīgas periodiskas decimāldaļas.
SR: Skaidro racionālo skaitļu kopas izveidošanos, kas ir bezgalīga periodiska decimāldaļa. Uzraksta skaitli, kā periodisku decimāldaļu.",,"Kvadrātsakne.","2.temats"
"26.09.2025","Aritmētiskā kvadrātsakne.
SR: Aprēķina kvadrātsaknes vērtību gan izteiksmju vērtību novērtējot, gan izmantojot kvadrātu tabulu, gan — kalkulatoru.",,"Kvadrātsakne.","2.temats"
"26.09.2025","Aritmētiskā kvadrātsakne.
SR: Aprēķina kvadrātsaknes vērtību gan izteiksmju vērtību novērtējot, gan izmantojot kvadrātu tabulu, gan — kalkulatoru.",,"Kvadrātsakne.","2.temats"
"29.09.2025","Aritmētiskā kvadrātsakne.
SR: Salīdzina kvadrātsakņu vērtības. Nosaka starp kuriem diviem veseliem skaitļiem atrodas dotā kvadrātsakne.","Atbilžu iesūtīšana2524
Mājās: 46. uzd. 46. lpp.
Teorija: M.g. 40.lpp.
Stundā: 35., 43. - 45. uzd. 45. - 46. lpp.
30.09.2025","Kvadrātsakne.","2.temats"
"30.09.2025","(KVD Racionāli un iracionāli skaitļi. Aritmētiskā kvadrātsakne. Skaitļu kopas.)
Kvadrātsaknes īpašības.
SR: Aprēķina kvadrātsakni no reizinājuma un kvadrātsakņu reizinājumu. Iznes reizinātāju pirms saknes zīmes. Izpilda saskaitīšanu un atņemšanu ar kvadrātsaknēm. Aprēķina kvadrātsakni no pakāpes. Salīdzina izteiksmju vērtības, kas satur kvadrātsaknes, izvēlas paņēmienu salīdzināšanas veikšanai. Aprēķina kvadrātsaknes no daļas un kvadrātsakņu dalījumu.",,"Kvadrātsakne.","2.temats"
"2.10.2025","Kvadrātsaknes īpašības. Kvadrātsakne no reizinājuma.
SR: Aprēķina kvadrātsakni no reizinājuma un kvadrātsakņu reizinājumu.","Teorija: M.g. 48.lpp.
Stundā: M.g. 47. - 53. uzd. 50.lpp.
3.10.2025","Kvadrātsakne.","2.temats"
"2.10.2025","Kvadrātsaknes īpašības. Kvadrātsakne no reizinājuma.
SR: Aprēķina kvadrātsakni no reizinājuma un kvadrātsakņu reizinājumu.",,"Kvadrātsakne.","2.temats"
"3.10.2025","Reizinātāja iznešana pirms saknes zīmes
SR: Iznes reizinātāju pirms saknes zīmes.","Teorija: M.g. 48.lpp.
Stundā: M.g. 55.,56. uzd. 51. lpp.
6.10.2025","Kvadrātsakne.","2.temats"
"3.10.2025","Līdzīgas kvadrātsaknes
SR: Izpilda saskaitīšanu un atņemšanu ar kvadrātsaknēm.","Teorija: M.g. 48.lpp.
Stundā: M.g. 58. - 61. uzd. 51. - 52. lpp.
6.10.2025","Kvadrātsakne.","2.temats"
"6.10.2025","Līdzīgas kvadrātsaknes
SR: Izpilda saskaitīšanu un atņemšanu ar kvadrātsaknēm.","Teorija: M.g. 48.lpp.
Mājās pabeigt: 59. un 60. uzd. 52. lpp.
7.10.2025","Kvadrātsakne.","2.temats"
"7.10.2025","Kvadrātsakne no pakāpes
SR: Aprēķina kvadrātsakni no pakāpes.",,"Kvadrātsakne.","2.temats"
"9.10.2025","Kvadrātsakne no daļas
SR: Aprēķina kvadrātsaknes no daļas un kvadrātsakņu dalījumu.","Teorija: M.g. 48.lpp.
Mājās pabeigt: 78., 80. uzd. 55. lpp.
10.10.2025","Kvadrātsakne.","2.temats"
"9.10.2025","Kvadrātsakne no daļas
SR: Aprēķina kvadrātsaknes no daļas un kvadrātsakņu dalījumu.",,"Kvadrātsakne.","2.temats"
"10.10.2025","Kvadrātsakne no daļas
SR: Aprēķina kvadrātsaknes no daļas un kvadrātsakņu dalījumu.",,"Kvadrātsakne.","2.temats"
"10.10.2025","Kvadrātsakne no daļas
SR: Aprēķina kvadrātsaknes no daļas un kvadrātsakņu dalījumu.",,"Kvadrātsakne.","2.temats"
"13.10.2025","Kopsavilkums un paškontrole
SR: Nosaka un paskaidro skaitļa piederību kopām N, Z, Q, R. Aprēķina kvadrātsaknes
vērtību, izmantojot definīciju. Izmanto kvadrātsaknes īpašības. Iznes reizinātāju
pirms kvadrātsaknes zīmes. Izpilda darbības ar līdzīgām kvadrātsaknēm.","Gatavoties pārbaudes darbam par skaitļu kopām un kvadrātsaknēm
 ES PROTU atbildes.pdf
14.10.2025","Kvadrātsakne.","2.temats"
"14.10.2025","TNPD ""Skaitļu kopas. Kvadrātsakne.""
SR:Lieto aritmētiskās kvadrātsaknes īpašības un darbību īpašības, lai aprēķinātu izteiksmes vērtību, veiktu izteiksmju pārveidojumus.*Nosaka, pamato skaitļu piederību noteiktai reālo skaitļu apakškopai",,"Kvadrātsakne.","2.temats"
"16.10.2025","Polinomu sadalīšana reizinātājos. Kopīga reizinātaja iznešana pirms iekavām.
SR: Nosaka, vai dotā izteiksme ir sadalīta reizinātājos; Sadala polinomu reizinātājos,
izmantojot kopīgā reizinātāja iznešanu pirms iekavām.","Teorija: 124. lpp.
Stundā: 1. - 7. uzd. 126. lpp.
17.10.2025","Polinomu sadalīšana reizinātājos.","3.temats"
"16.10.2025","Polinomu sadalīšana reizinātājos. Kopīga reizinātaja iznešana pirms iekavām.
SR: Nosaka, vai dotā izteiksme ir sadalīta reizinātājos; Sadala polinomu reizinātājos,
izmantojot kopīgā reizinātāja iznešanu pirms iekavām.",,"Polinomu sadalīšana reizinātājos.","3.temats"
"17.10.2025","Polinomu sadalīšana reizinātājos. Grupēšanas paņēmiens.
SR: Sadala izteiksmi reizinātājos, grupējot; Izmanto kopīgā reizinātāja iznešanu pirms iekavām","Teorija: 124. lpp.
Stundā: 8. - 9. uzd. 127. lpp.
27.10.2025","Polinomu sadalīšana reizinātājos.","3.temats"
"17.10.2025","Polinomu sadalīšana reizinātājos. Grupēšanas paņēmiens.
SR: Sadala izteiksmi reizinātājos, grupējot; Izmanto kopīgā reizinātāja iznešanu pirms iekavām",,"Polinomu sadalīšana reizinātājos.","3.temats"
"27.10.2025","Saīsinātās reizināšanas formulas
SR: Izmanto formulas skaitlisku izteiksmju vērtību aprēķināšanai. Vienkāršo izteiksmes, izmantojot saīsinātās reizināšanas formulas.",,"Polinomu sadalīšana reizinātājos.","3.temats"
"28.10.2025","Saīsinātās reizināšanas formulas
SR: Izmanto formulas skaitlisku izteiksmju vērtību aprēķināšanai. Vienkāršo izteiksmes, izmantojot saīsinātās reizināšanas formulas.","Mājās pabeigt: 1.,2. uzd. 129. lpp.
30.10.2025","Polinomu sadalīšana reizinātājos.","3.temats"
"30.10.2025","Saīsinātās reizināšanas formulas
SR: Izmanto formulas skaitlisku izteiksmju vērtību aprēķināšanai. Vienkāršo izteiksmes, izmantojot saīsinātās reizināšanas formulas.","Teorija: https://www.uzdevumi.lv/p/matematika/8-klase/polinomu-sadalisana-reizi...
Stundā: M.g. 17. - 21. uzd. 130. - 131. lpp.
31.10.2025","Polinomu sadalīšana reizinātājos.","3.temats"
"30.10.2025","Saīsinātās reizināšanas formulas
SR: Izmanto formulas skaitlisku izteiksmju vērtību aprēķināšanai. Vienkāršo izteiksmes, izmantojot saīsinātās reizināšanas formulas.",,"Polinomu sadalīšana reizinātājos.","3.temats"
"31.10.2025","Saīsināto reizināšanas formulu lietošana sadalīšanai reizinātājos
SR: Lieto saīsinātās reizināšanas formulas polinomu sadalīšanai reizinātājos","Teorija: M.g. 134. lpp.
Stundā: M.g. 35. - 39. uzd. 135. lpp.
3.11.2025","Polinomu sadalīšana reizinātājos.","3.temats"
"31.10.2025","Saīsināto reizināšanas formulu lietošana sadalīšanai reizinātājos
SR: Lieto saīsinātās reizināšanas formulas polinomu sadalīšanai reizinātājos",,"Polinomu sadalīšana reizinātājos.","3.temats"
"3.11.2025","Polinomu sadalīšana reizinātājos ar dažādām metodēm.
SR: Lieto kopīgā iznešanu pirms iekavām, grupēšanas paņēmienu un saīsinātās reizināšanas formulas, sadalot polinomus reizinātājos.","Stundā: M.g. 41., 42. uzd. 136. lpp.
4.11.2025","Polinomu sadalīšana reizinātājos.","3.temats"
"4.11.2025","Polinomu sadalīšana reizinātājos ar dažādām metodēm.
SR: Lieto kopīgā iznešanu pirms iekavām, grupēšanas paņēmienu un saīsinātās reizināšanas formulas, sadalot polinomus reizinātājos.",,"Polinomu sadalīšana reizinātājos.","3.temats"
"6.11.2025","Polinomu sadalīšana reizinātājos ar dažādām metodēm.
SR: Lieto kopīgā iznešanu pirms iekavām, grupēšanas paņēmienu un saīsinātās reizināšanas formulas, sadalot polinomus reizinātājos."," Atbildes_DL25_polinomu sadalīšana reizinātājos.pdf
 DL25_gatavošanās pārbaudes darbam.docx
7.11.2025","Polinomu sadalīšana reizinātājos.","3.temats"
"6.11.2025","Polinomu sadalīšana reizinātājos ar dažādām metodēm.
SR: Lieto kopīgā iznešanu pirms iekavām, grupēšanas paņēmienu un saīsinātās reizināšanas formulas, sadalot polinomus reizinātājos.",,"Polinomu sadalīšana reizinātājos.","3.temats"
"7.11.2025","Laukuma īpasības un vienlielas figūras.
SR: Atkārto laukuma mērvienības. Lieto laukuma īpašības.","Teorija: M.g. 60. - 61. lpp.
8.11.2025","Polinomu sadalīšana reizinātājos.","3.temats"
"7.11.2025","Laukuma īpasības un vienlielas figūras.
SR: Atkārto laukuma mērvienības. Lieto laukuma īpašības.",,"Polinomu sadalīšana reizinātājos.","3.temats"
"8.11.2025","Laukuma īpasības un vienlielas figūras.
SR: Atkārto laukuma mērvienības. Lieto laukuma īpašības.",,"Polinomu sadalīšana reizinātājos.","3.temats"
"10.11.2025","TNPD ""Polinomu sadalīšana reizinātājos""
SR: Sadals polinomus reizinātājos, iznesot kopīgo reizinātāju pirms iekavām, izmantojot grupēšanas paņēmienu un saīsinātās reizināšanas formulas. Vienkāršo izteiksmes, risina vienādojumus, lietojot SRF.",,"Polinomu sadalīšana reizinātājos.","3.temats"
"11.11.2025","Laukuma īpasības un vienlielas figūras.
SR: Atkārto laukuma mērvienības. Lieto laukuma īpašības.",,"Trijstūra un riņķa laukums.","4.temats"
"13.11.2025","Laukuma īpašības un vienlielas figūras.
SR: Aprēķina taisnstūra un taisnleņķa trijstūra laukumu.","Stundā: M.g. 65. - 66. lpp.
14.11.2025","Trijstūra un riņķa laukums.","4.temats"
"13.11.2025","Laukuma īpašības un vienlielas figūras.
SR: Aprēķina taisnstūra un taisnleņķa trijstūra laukumu.",,"Trijstūra un riņķa laukums.","4.temats"
"14.11.2025","Laukuma īpašības un vienlielas figūras. Pīka formula.
SR: Aprēķina taisnstūra un taisnleņķa trijstūra laukumu.",,"Trijstūra un riņķa laukums.","4.temats"
"14.11.2025","Trijstūra laukums. Vienlieli trijstūri.
SR: Lieto trijstūra laukuma aprēķināšanas formulu.",,"Trijstūra un riņķa laukums.","4.temats"
"20.11.2025","Trijstūra laukums. Vienlieli trijstūri.
SR: Lieto trijstūra laukuma aprēķināšanas formulu.","Teorija: M.g. 70. lpp.
Stundā: M.g. 72. - 73. lpp.
21.11.2025","Trijstūra un riņķa laukums.","4.temats"
"20.11.2025","Trijstūra laukums. Vienlieli trijstūri.
SR: Lieto trijstūra laukuma aprēķināšanas formulu.",,"Trijstūra un riņķa laukums.","4.temats"
"21.11.2025","Trijstūra laukums. Vienlieli trijstūri.
SR: Lieto trijstūra laukuma aprēķināšanas formulu un zināšanas par vienlieliem trijstūriem pierādījuma uzdevumos.","Teorija: M.g. 70. lpp.
Stundā: M.g. 73. - 74. lpp. 45., 47. - 49. uzd.
24.11.2025","Trijstūra un riņķa laukums.","4.temats"
"21.11.2025","Riņķa un sektora laukums.
SR: Aprēķina riņķa un sektora laukumu, t. sk. praktiska satura uzdevumos.","Uz atsevišķas lapas veikt kļūdu labojumu TNPD “Kā izmanto izteiksmju sadalīšanu reizinātājos?” (iesniegt kopā ar darbu līdz 25.11.)
24.11.2025","Trijstūra un riņķa laukums.","4.temats"
"24.11.2025","Riņķa un sektora laukums.
SR: Aprēķina riņķa un sektora laukumu, t. sk. praktiska satura uzdevumos.","Uz atsevišķas lapas veikt kļūdu labojumu TNPD “Kā izmanto izteiksmju sadalīšanu reizinātājos?” (iesniegt kopā ar darbu līdz 25.11.)
25.11.2025","Trijstūra un riņķa laukums.","4.temats"
"25.11.2025","Riņķa un sektora laukums.
SR: Aprēķina riņķa un sektora laukumu, t. sk. praktiska satura uzdevumos.",,"Trijstūra un riņķa laukums.","4.temats"
"27.11.2025","Kombinētas figūras.
SR: Izveido figūru laukumu aprēķināšanas izteiksmes. Lieto taisnstūra, trijstūra riņķa un riņķa sektora laukuma aprēķināšanas formulas.","M.g. 79. - 80. lpp.
 DL25_Kombinētas figūras.docx
28.11.2025","Trijstūra un riņķa laukums.","4.temats"
"27.11.2025","Kombinētas figūras.
SR: Izveido figūru laukumu aprēķināšanas izteiksmes. Lieto taisnstūra, trijstūra riņķa un riņķa sektora laukuma aprēķināšanas formulas.",,"Trijstūra un riņķa laukums.","4.temats"
"28.11.2025","KVD ""Trijstūra, riņķa un riņķa sektora laukums""
SR: Patstāvīgi lieto trijstūra un riņķa laukuma formulas.",,"Trijstūra un riņķa laukums.","4.temats"
"28.11.2025","Telpiskas figūras.
SR: Skaidro, kā veidojas un kā aprēķināt prizmas sānu virsmas un pilnas virsmas laukumu. Zīmē dažādu prizmu izklājumus. Aprēķina prizmas sānu virsmas un pilnas virsmas laukumu,
aprēķinu veikšanai izvēlas atbilstošus lielumus. Aprēķina prizmas tilpumu, t. sk. praktiska satura uzdevumos.","Teorija: M.g. 82. lpp.
1.12.2025","Trijstūra un riņķa laukums.","4.temats"
"1.12.2025","Telpiskas figūras.
SR: Skaidro, kā veidojas un kā aprēķināt prizmas sānu virsmas un pilnas virsmas laukumu. Zīmē dažādu prizmu izklājumus. Aprēķina prizmas sānu virsmas un pilnas virsmas laukumu,
aprēķinu veikšanai izvēlas atbilstošus lielumus. Aprēķina prizmas tilpumu, t. sk. praktiska satura uzdevumos.",,"Trijstūra un riņķa laukums.","4.temats"
"4.12.2025","Telpiskas figūras. Prizma.
SR: Aprēķina prizmas sānu virsmas un pilnas virsmas laukumu, aprēķinu veikšanai izvēlas atbilstošus lielumus. Aprēķina prizmas tilpumu, t. sk. praktiska satura uzdevumos.","Teorija: M.g. 82. lpp.
Stundā: 81. - 90. uzd. 87. - 88. lpp.
5.12.2025","Trijstūra un riņķa laukums.","4.temats"
"4.12.2025","Telpiskas figūras. Prizma.
SR: Aprēķina prizmas sānu virsmas un pilnas virsmas laukumu, aprēķinu veikšanai izvēlas atbilstošus lielumus. Aprēķina prizmas tilpumu, t. sk. praktiska satura uzdevumos.",,"Trijstūra un riņķa laukums.","4.temats"
"5.12.2025","Telpiskas figūras. Cilindrs.
SR: Aprēķina cilindra sānu virsmas un pilnas virsmas laukumu, aprēķinu veikšanai izvēlas atbilstošus lielumus. Aprēķina cilindra tilpumu, t. sk. praktiska satura uzdevumos.","Teorija: M.g. 84. lpp.
Stundā: 96.-98. uzd. 89. lpp.
8.12.2025","Trijstūra un riņķa laukums.","4.temats"
"5.12.2025","Telpiskas figūras. Cilindrs.
SR: Aprēķina cilindra sānu virsmas un pilnas virsmas laukumu, aprēķinu veikšanai izvēlas atbilstošus lielumus. Aprēķina cilindra tilpumu, t. sk. praktiska satura uzdevumos.",,"Trijstūra un riņķa laukums.","4.temats"
